RelationshipStatus,HowLongRelationship,HowOften,Snores,FrequentBathroom,Sick,NoIntimate,TempPreferences,Argument,NoSpace,NoCovers,Child,NightWorking,FirstTime,StayTogether,SleepBetter,SexLife,Occupation,Gender,Age,Income,Education,Location
"Single, but cohabiting with a significant other",1-5 years,Once a year or less,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Other,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
"Single, but cohabiting with a significant other",1-5 years,A few times per month,1,1,1,0,0,1,0,1,0,0,Immediately/ We've always slept in separate beds,Somewhat agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,Male,18-29,,Bachelor degree,South Atlantic
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,South Atlantic
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Life, Physical, and Social Science Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Office and Administrative Support Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$0 - $24,999",High school degree,East North Central
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Other,Male,45-60,,Graduate degree,Mountain
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Retired,Female,> 60,"$25,000 - $49,999",High school degree,West North Central
"Single, but cohabiting with a significant other",6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Building and Grounds Cleaning and Maintenance Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
Married,16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Protective Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
Married,6-10 years,Once a month or less,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Healthcare Practitioners and Technical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
Married,16-20 years,A few times per week,0,0,0,0,1,0,0,0,0,0,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Healthcare Practitioners and Technical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
Married,6-10 years,Once a year or less,0,0,1,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Other,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
In a domestic partnership or civil union,1-5 years,A few times per week,1,0,1,1,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
In a domestic partnership or civil union,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Installation, Maintenance, and Repair Occupations",Male,30-44,,Bachelor degree,Mountain
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Legal Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Construction and Extraction Occupations,Male,30-44,"$25,000 - $49,999",High school degree,East South Central
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
Married,16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Other,Male,18-29,,,Mountain
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Retired,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
In a domestic partnership or civil union,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
Married,1-5 years,A few times per week,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
Married,11-15 years,A few times per month,0,0,0,0,0,0,0,0,1,1,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Legal Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Construction and Extraction Occupations,Male,30-44,,Bachelor degree,New England
Married,16-20 years,Once a year or less,1,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,,Bachelor degree,Mountain
"Single, but cohabiting with a significant other",6-10 years,Once a month or less,1,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
Married,16-20 years,A few times per week,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
Married,11-15 years,A few times per week,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Transportation and Materials Moving Occupations,Male,30-44,,Bachelor degree,South Atlantic
Married,6-10 years,Once a month or less,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Building and Grounds Cleaning and Maintenance Occupations,Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic
Married,11-15 years,Once a month or less,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
Married,11-15 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
"Single, but cohabiting with a significant other",1-5 years,Once a year or less,0,0,0,0,0,1,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
Married,11-15 years,Once a month or less,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,,Bachelor degree,Middle Atlantic
"Single, but cohabiting with a significant other",6-10 years,Once a year or less,0,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
